,date,Open,High,Low,Close_x,Volume,label_up5,label_up2,label_down5,label_down2
1968,2020-05-28,9204.62,9619.34,9112.3,9579.71,530613444.11,False,True,False,False
1969,2020-05-29,9579.71,9601.43,9344.8,9424.62,379875666.16,False,False,False,True
1970,2020-05-30,9424.62,9735.73,9340.45,9699.78,235049817.45,False,True,False,False
1971,2020-05-31,9699.78,9703.51,9400.25,9450.47,212143031.97,False,False,False,True
1972,2020-06-01,9450.47,10359.02,9421.6,10211.23,435270237.66,True,True,False,False
1973,2020-06-02,10211.23,10232.25,9344.53,9523.75,812990990.27,False,False,True,True
1974,2020-06-03,9523.75,9666.25,9408.56,9666.06,316212538.78,False,False,False,False
1975,2020-06-04,9666.06,9877.89,9470.9,9794.55,418578381.27,False,True,False,True
1976,2020-06-05,9794.55,9846.54,9611.19,9622.02,406449067.36,False,False,False,False
1977,2020-06-06,9622.02,9728.4,9536.15,9671.46,221180782.78,False,False,False,False
1978,2020-06-07,9671.46,9806.21,9410.33,9750.7,374577294.36,False,False,False,True
1979,2020-06-08,9750.7,9801.19,9658.72,9782.58,318606275.83,False,False,False,False
1980,2020-06-09,9782.58,9884.83,9604.13,9779.7,376816490.4,False,False,False,False
1981,2020-06-10,9779.7,9990.4,9708.63,9891.84,395005942.58,False,True,False,False
1982,2020-06-11,9891.84,9970.77,9093.42,9268.13,827582593.73,False,False,True,True
1983,2020-06-12,9268.13,9548.13,9238.24,9464.23,384322097.92,False,True,False,False
1984,2020-06-13,9464.23,9492.0,9363.89,9474.65,156509665.57,False,False,False,False
1985,2020-06-14,9474.65,9479.56,9251.02,9333.7,181308843.48,False,False,False,True
1986,2020-06-15,9333.7,9498.69,8909.5,9429.65,616170633.01,False,False,False,True
1987,2020-06-16,9429.65,9585.17,9383.33,9526.7,378768702.55,False,False,False,False
1988,2020-06-17,9526.7,9550.06,9243.06,9459.13,325191529.46,False,False,False,True
1989,2020-06-18,9459.13,9480.04,9276.18,9380.67,236301644.47,False,False,False,False
1990,2020-06-19,9380.67,9419.99,9239.58,9301.83,295439171.8,False,False,False,False
1991,2020-06-20,9301.83,9394.04,9179.1,9359.18,182464228.19,False,False,False,False
1992,2020-06-21,9359.18,9418.22,9282.53,9292.81,123480945.26,False,False,False,False
1993,2020-06-22,9292.81,9774.79,9283.26,9691.61,393567343.68,True,True,False,False
1994,2020-06-23,9691.61,9720.11,9580.47,9624.3,296221140.11,False,False,False,False
1995,2020-06-24,9624.3,9664.38,9206.05,9292.94,461570781.81,False,False,False,True
1996,2020-06-25,9292.94,9335.65,9000.53,9241.32,435446758.27,False,False,False,True
1997,2020-06-26,9241.32,9289.32,9041.42,9158.07,371373315.29,False,False,False,True
1998,2020-06-27,9158.07,9190.27,8867.34,9007.14,254990739.33,False,False,False,True
1999,2020-06-28,9007.14,9189.74,8946.05,9120.39,179558602.81,False,True,False,False
2000,2020-06-29,9120.39,9234.33,9026.42,9187.07,283764928.26,False,False,False,False
2001,2020-06-30,9187.07,9200.99,9068.77,9136.47,213905502.74,False,False,False,False
2002,2020-07-01,9136.47,9299.67,9097.33,9238.89,274835041.39,False,False,False,False
2003,2020-07-02,9238.89,9267.84,8954.67,9092.8,343433369.43,False,False,False,True
2004,2020-07-03,9092.8,9127.05,9047.38,9066.46,198428092.21,False,False,False,False
2005,2020-07-04,9066.46,9195.91,9052.4,9142.2,147598290.89,False,False,False,False
2006,2020-07-05,9142.2,9152.87,8935.9,9081.44,159006413.09,False,False,False,True
2007,2020-07-06,9081.44,9372.09,9067.64,9347.05,340664721.17,False,True,False,False
2008,2020-07-07,9347.05,9378.69,9208.31,9257.32,239497399.36,False,False,False,False
2009,2020-07-08,9257.32,9471.65,9236.9,9439.2,350318105.76,False,True,False,False
2010,2020-07-09,9439.2,9441.67,9171.37,9238.95,280648694.08,False,False,False,True
2011,2020-07-10,9238.95,9317.31,9128.71,9288.57,224680670.05,False,False,False,False
2012,2020-07-11,9288.57,9302.22,9188.13,9237.13,108899834.63,False,False,False,False
2013,2020-07-12,9237.13,9339.99,9169.13,9300.95,151649367.79,False,False,False,False
2014,2020-07-13,9300.95,9336.42,9201.18,9237.89,240081841.21,False,False,False,False
2015,2020-07-14,9237.89,9279.57,9109.7,9256.07,238308476.7,False,False,False,False
2016,2020-07-15,9256.07,9272.57,9160.89,9193.22,216386874.26,False,False,False,False
2017,2020-07-16,9193.22,9216.53,9029.17,9133.23,254255550.28,False,False,False,False
2018,2020-07-17,9133.23,9183.08,9080.61,9156.79,187710134.42,False,False,False,False
2019,2020-07-18,9156.79,9205.94,9125.92,9177.22,109563331.59,False,False,False,False
2020,2020-07-19,9177.22,9238.3,9113.41,9216.02,117297958.15,False,False,False,False
2021,2020-07-20,9216.02,9224.76,9136.9,9164.42,171877002.63,False,False,False,False
2022,2020-07-21,9164.42,9435.55,9162.25,9392.83,337645738.93,False,True,False,False
2023,2020-07-22,9392.83,9551.87,9289.85,9537.24,281661129.12,False,False,False,False
2024,2020-07-23,9537.24,9675.5,9458.25,9615.21,415079930.39,False,False,False,False
2025,2020-07-24,9615.21,9647.83,9477.19,9550.23,323092524.09,False,False,False,False
2026,2020-07-25,9550.23,9744.72,9536.76,9708.41,233301043.7,False,True,False,False
2027,2020-07-26,9708.41,10140.55,9659.08,9942.01,417337407.31,False,True,False,False
2028,2020-07-27,9942.01,11397.48,9935.51,11042.94,1363674374.42,True,True,False,False
2029,2020-07-28,11042.94,11253.39,10590.98,10933.26,938667838.04,False,False,False,True
2030,2020-07-29,10933.26,11348.53,10854.04,11112.04,689206497.21,False,True,False,False
2031,2020-07-30,11112.04,11182.76,10875.14,11113.66,503563543.58,False,False,False,True
2032,2020-07-31,11113.66,11454.11,10981.87,11352.72,608151203.91,False,True,False,False
2033,2020-08-01,11352.72,11874.77,11240.98,11812.42,741252933.72,False,True,False,False
2034,2020-08-02,11812.42,12106.89,10694.22,11063.5,721639453.44,False,True,True,True
2035,2020-08-03,11063.5,11476.29,10945.66,11234.73,473995003.36,False,True,False,False
2036,2020-08-04,11234.73,11415.16,11021.07,11194.18,393301819.23,False,False,False,False
2037,2020-08-05,11194.18,11791.62,11095.47,11752.05,555395574.17,True,True,False,False
2038,2020-08-06,11752.05,11909.81,11577.8,11771.27,587033759.68,False,False,False,False
2039,2020-08-07,11771.27,11912.62,11350.42,11603.82,651142052.53,False,False,False,True
2040,2020-08-08,11603.82,11811.4,11534.87,11770.77,271582305.12,False,False,False,False
2041,2020-08-09,11770.77,11802.93,11533.93,11686.34,231830330.42,False,False,False,True
2042,2020-08-10,11686.34,12074.31,11640.41,11897.41,667803525.71,False,True,False,False
2043,2020-08-11,11897.41,11940.4,11138.6,11389.01,724227264.93,False,False,True,True
2044,2020-08-12,11389.01,11621.05,11182.8,11570.19,430758054.54,False,True,False,False
2045,2020-08-13,11570.19,11795.34,11284.57,11790.68,487564726.98,False,False,False,True
2046,2020-08-14,11790.68,11863.43,11657.2,11774.52,437825096.08,False,False,False,False
2047,2020-08-15,11774.52,11981.62,11697.88,11860.91,369258184.57,False,False,False,False
2048,2020-08-16,11860.91,11934.96,11701.22,11917.97,260716863.02,False,False,False,False
2049,2020-08-17,11917.97,12474.73,11775.66,12301.19,682170133.05,False,True,False,False
2050,2020-08-18,12301.19,12397.4,11855.24,11956.69,604246043.52,False,False,False,True
2051,2020-08-19,11956.69,12021.8,11592.2,11760.37,590122894.96,False,False,False,True
2052,2020-08-20,11760.37,11888.72,11679.03,11863.43,510502416.84,False,False,False,False
2053,2020-08-21,11863.43,11882.67,11494.52,11527.35,745059089.73,False,False,False,True
2054,2020-08-22,11527.35,11686.02,11379.06,11670.42,572197825.57,False,False,False,False
2055,2020-08-23,11670.42,11713.62,11521.6,11651.52,388308826.36,False,False,False,False
2056,2020-08-24,11651.52,11827.45,11594.64,11756.4,459366140.6,False,False,False,False
2057,2020-08-25,11756.4,11767.64,11130.36,11330.56,583786229.48,False,False,True,True
2058,2020-08-26,11330.56,11542.65,11259.23,11466.89,309986442.65,False,False,False,False
2059,2020-08-27,11466.89,11591.64,11135.52,11331.02,464957172.93,False,False,False,True
2060,2020-08-28,11331.02,11553.81,11289.07,11535.21,353027933.9,False,False,False,False
2061,2020-08-29,11535.21,11585.98,11433.8,11480.48,187746012.8,False,False,False,False
2062,2020-08-30,11480.48,11718.98,11470.07,11716.54,190649396.2,False,True,False,False
2063,2020-08-31,11716.54,11775.27,11586.36,11657.81,307926585.75,False,False,False,False
2064,2020-09-01,11657.81,12062.06,11540.42,11926.69,537292263.85,False,True,False,False
2065,2020-09-02,11926.69,11954.28,11219.19,11397.9,618129314.2,False,False,True,True
2066,2020-09-03,11397.9,11469.2,10017.43,10174.62,894736678.62,False,False,True,True
2067,2020-09-04,10174.62,10638.71,10020.02,10467.33,562742223.01,False,True,False,False
2068,2020-09-05,10467.33,10570.95,9880.05,10167.97,614402772.13,False,False,True,True
2069,2020-09-06,10167.97,10361.12,10019.56,10260.37,300644746.65,False,False,False,False
2070,2020-09-07,10260.37,10411.92,9893.68,10379.08,422137373.09,False,False,False,True
2071,2020-09-08,10379.08,10443.72,9855.68,10128.54,553186747.41,False,False,True,True
2072,2020-09-09,10128.54,10349.09,9989.63,10228.85,346738492.44,False,True,False,False
2073,2020-09-10,10228.85,10493.32,10221.37,10345.68,452098495.16,False,True,False,False
2074,2020-09-11,10345.68,10412.6,10215.49,10398.5,266084892.24,False,False,False,False
2075,2020-09-12,10398.5,10486.76,10282.43,10448.0,184001054.5,False,False,False,False
2076,2020-09-13,10448.0,10578.97,10224.4,10332.36,299956975.1,False,False,False,True
2077,2020-09-14,10332.36,10753.33,10259.62,10678.31,359274837.28,False,True,False,False
2078,2020-09-15,10678.31,10936.89,10632.26,10786.7,369481767.48,False,True,False,False
2079,2020-09-16,10786.7,11094.7,10670.02,10957.1,372894154.99,False,True,False,False
2080,2020-09-17,10957.1,11047.25,10755.99,10945.14,293584349.54,False,False,False,False
2081,2020-09-18,10945.14,11040.66,10823.93,10937.89,248821618.73,False,False,False,False
2082,2020-09-19,10937.89,11173.88,10898.63,11083.61,193207449.76,False,True,False,False
2083,2020-09-20,11083.61,11083.9,10775.23,10921.85,237773866.86,False,False,False,True
2084,2020-09-21,10921.85,10992.25,10319.73,10418.14,473754186.1,False,False,True,True
2085,2020-09-22,10418.14,10576.92,10365.99,10534.73,301280976.85,False,False,False,False
2086,2020-09-23,10534.73,10546.48,10166.62,10238.09,277589382.46,False,False,False,True
2087,2020-09-24,10238.09,10792.17,10213.75,10742.98,304956298.0,True,True,False,False
2088,2020-09-25,10742.98,10762.38,10562.14,10694.12,360929423.35,False,False,False,False
2089,2020-09-26,10694.12,10822.99,10658.15,10734.23,148097714.06,False,False,False,False
2090,2020-09-27,10734.23,10810.35,10612.42,10781.47,148127427.26,False,False,False,False
2091,2020-09-28,10781.47,10951.6,10649.18,10699.0,350615325.76,False,False,False,False
2092,2020-09-29,10699.0,10863.02,10641.03,10841.29,334584439.48,False,False,False,False
2093,2020-09-30,10841.29,10850.12,10666.17,10779.42,317604086.65,False,False,False,False
2094,2020-10-01,10779.42,10926.47,10454.66,10622.79,422940486.72,False,False,False,True
2095,2020-10-02,10622.79,10668.49,10388.07,10576.64,355424408.51,False,False,False,True
2096,2020-10-03,10576.64,10602.28,10507.49,10552.04,110570157.37,False,False,False,False
2097,2020-10-04,10552.04,10699.94,10534.5,10675.52,111420779.07,False,False,False,False
2098,2020-10-05,10675.52,10799.53,10627.77,10795.11,255950434.22,False,False,False,False
2099,2020-10-06,10795.11,10801.66,10533.32,10603.9,329346366.4,False,False,False,True
2100,2020-10-07,10603.9,10679.76,10554.41,10672.67,208253472.75,False,False,False,False
2101,2020-10-08,10672.67,10957.42,10541.2,10929.4,423807796.12,False,True,False,False
2102,2020-10-09,10929.4,11109.32,10839.3,11058.78,359802403.01,False,False,False,False
2103,2020-10-10,11058.78,11485.43,11057.98,11301.57,296925751.27,False,True,False,False
2104,2020-10-11,11301.57,11434.1,11284.09,11375.51,202131016.49,False,False,False,False
2105,2020-10-12,11375.51,11725.28,11223.99,11539.76,478557074.68,False,True,False,False
2106,2020-10-13,11539.76,11561.69,11314.56,11427.29,383360256.66,False,False,False,False
2107,2020-10-14,11427.29,11550.25,11298.88,11429.3,259711904.03,False,False,False,False
2108,2020-10-15,11429.3,11607.59,11269.05,11508.31,377801262.9,False,False,False,False
2109,2020-10-16,11508.31,11545.35,11224.89,11326.25,332320579.31,False,False,False,True
2110,2020-10-17,11326.25,11410.01,11270.69,11367.65,112306061.3,False,False,False,False
2111,2020-10-18,11367.65,11513.68,11357.25,11513.33,131886570.58,False,False,False,False
2112,2020-10-19,11513.33,11821.95,11417.11,11756.88,456404609.75,False,True,False,False
2113,2020-10-20,11756.88,12047.73,11688.39,11921.78,576128149.71,False,True,False,False
2114,2020-10-21,11921.78,13236.39,11900.51,12813.11,1296152945.69,True,True,False,False
2115,2020-10-22,12813.11,13197.69,12700.74,12990.25,739591002.3,False,True,False,False
2116,2020-10-23,12990.25,13031.82,12732.62,12937.2,416662855.54,False,False,False,False
2117,2020-10-24,12937.2,13167.31,12886.47,13126.13,273005904.67,False,False,False,False
2118,2020-10-25,13126.13,13346.7,12910.39,13041.21,368884232.62,False,False,False,False
2119,2020-10-26,13041.21,13241.79,12797.05,13069.43,460984686.3,False,False,False,False
2120,2020-10-27,13069.43,13783.14,13060.64,13646.02,603406480.39,True,True,False,False
2121,2020-10-28,13646.02,13855.57,12906.15,13285.97,434942187.78,False,False,True,True
2122,2020-10-29,13285.97,13643.6,12985.56,13462.18,555737562.11,False,True,False,True
2123,2020-10-30,13462.18,13674.89,13132.53,13565.95,756044940.71,False,False,False,True
2124,2020-10-31,13565.95,14077.8,13432.24,13803.41,600104833.89,False,True,False,False
2125,2020-11-01,13803.41,13897.02,13630.22,13761.72,286724152.06,False,False,False,False
2126,2020-11-02,13761.72,13828.48,13221.65,13571.24,453096297.52,False,False,False,True
2127,2020-11-03,13571.24,14071.54,13300.84,14023.78,300271386.78,False,True,False,False
2128,2020-11-04,14023.78,14258.9,13539.13,14157.73,423118194.37,False,False,False,True
2129,2020-11-05,14157.73,15739.47,14114.37,15599.92,625288741.44,True,True,False,False
2130,2020-11-06,15599.92,15948.88,15219.57,15590.62,538014394.46,False,True,False,True
2131,2020-11-07,15590.62,15765.02,14427.34,14838.16,388303730.2,False,False,True,True
2132,2020-11-08,14838.16,15653.89,14739.11,15488.25,285202500.11,True,True,False,False
2133,2020-11-09,15488.25,15812.23,14833.13,15335.03,492570531.42,False,True,False,True
2134,2020-11-10,15335.03,15476.99,15099.11,15313.73,352628988.82,False,False,False,False
2135,2020-11-11,15313.73,15983.03,15288.76,15707.08,717920492.19,False,True,False,False
2136,2020-11-12,15707.08,16348.99,15476.25,16306.53,1074746061.94,False,True,False,False
2137,2020-11-13,16306.53,16482.62,15975.8,16332.85,694320640.17,False,False,False,True
2138,2020-11-14,16332.85,16334.29,15720.61,16075.95,452657737.75,False,False,False,True
2139,2020-11-15,16075.95,16156.82,15796.03,15964.7,286912254.78,False,False,False,False
2140,2020-11-16,15964.7,16876.48,15877.77,16721.46,685608661.41,True,True,False,False
2141,2020-11-17,16721.46,17857.37,16563.5,17681.54,1072294334.69,True,True,False,False
2142,2020-11-18,17681.54,18466.1,17260.91,17786.27,1441862086.0,False,True,False,True
2143,2020-11-19,17786.27,18172.87,17365.08,17824.64,859856045.56,False,True,False,True
2144,2020-11-20,17824.64,18814.87,17764.07,18672.78,939934212.29,True,True,False,False
2145,2020-11-21,18672.78,18966.12,18359.06,18704.06,705040526.65,False,False,False,False
2146,2020-11-22,18704.06,18757.55,17635.18,18430.59,796767991.89,False,False,True,True
2147,2020-11-23,18430.59,18761.66,18010.51,18385.74,902518528.75,False,False,False,True
2148,2020-11-24,18385.74,19419.49,18117.78,19157.16,1403472685.29,True,True,False,False
2149,2020-11-25,19157.16,19488.81,18519.89,18725.76,1141495120.46,False,False,False,True
2150,2020-11-26,18725.76,18907.31,16270.37,17175.86,2220672632.83,False,False,True,True
2151,2020-11-27,17175.86,17479.12,16462.87,17155.0,1034426524.1,False,False,False,True
2152,2020-11-28,17155.0,17893.95,16895.0,17739.9,605284901.68,False,True,False,False
2153,2020-11-29,17739.9,18347.24,17543.55,18199.23,489679989.73,False,True,False,False
2154,2020-11-30,18199.23,19850.23,18199.03,19686.87,1493787961.07,True,True,False,False
2155,2020-12-01,19686.87,19911.79,18194.17,18792.03,1743191338.61,False,False,True,True
2156,2020-12-02,18792.03,19337.16,18350.0,19226.19,903817773.96,False,True,False,True
2157,2020-12-03,19226.19,19608.49,18888.12,19448.44,747088833.15,False,False,False,False
2158,2020-12-04,19448.44,19541.62,18603.79,18665.0,804366524.28,False,False,False,True
